xflr5 v6.53

Plane name :        A-20 E-20 R-20
Polar name :        T1-25.0 m/s-VLM2-Inviscid
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.812072   0.515666   0.000000   0.515666   0.082571   0.056049  -1.179702  -0.016688  -0.016688   25.0000     0.1503
  -44.000     0.000  -2.782848   0.509284   0.000000   0.509284   0.083618   0.056378  -1.161814  -0.017058  -0.017058   25.0000     0.1505
  -43.000     0.000  -2.752292   0.502158   0.000000   0.502158   0.084583   0.056678  -1.142659  -0.017414  -0.017414   25.0000     0.1506
  -42.000     0.000  -2.720383   0.494316   0.000000   0.494316   0.085465   0.056949  -1.122260  -0.017754  -0.017754   25.0000     0.1508
  -41.000     0.000  -2.687102   0.485790   0.000000   0.485790   0.086263   0.057193  -1.100642  -0.018078  -0.018078   25.0000     0.1510
  -40.000     0.000  -2.652431   0.476609   0.000000   0.476609   0.086976   0.057409  -1.077831  -0.018386  -0.018386   25.0000     0.1513
  -39.000     0.000  -2.616356   0.466809   0.000000   0.466809   0.087604   0.057599  -1.053856  -0.018676  -0.018676   25.0000     0.1516
  -38.000     0.000  -2.578864   0.456423   0.000000   0.456423   0.088145   0.057762  -1.028745  -0.018948  -0.018948   25.0000     0.1520
  -37.000     0.000  -2.539943   0.445488   0.000000   0.445488   0.088599   0.057900  -1.002529  -0.019202  -0.019202   25.0000     0.1524
  -36.000     0.000  -2.499585   0.434042   0.000000   0.434042   0.088965   0.058013  -0.975240  -0.019438  -0.019438   25.0000     0.1528
  -35.000     0.000  -2.457784   0.422122   0.000000   0.422122   0.089243   0.058101  -0.946912  -0.019654  -0.019654   25.0000     0.1534
  -34.000     0.000  -2.414535   0.409770   0.000000   0.409770   0.089432   0.058166  -0.917578  -0.019850  -0.019850   25.0000     0.1539
  -33.000     0.000  -2.369836   0.397025   0.000000   0.397025   0.089533   0.058208  -0.887274  -0.020026  -0.020026   25.0000     0.1546
  -32.000     0.000  -2.323688   0.383930   0.000000   0.383930   0.089545   0.058227  -0.856038  -0.020182  -0.020182   25.0000     0.1553
  -31.000     0.000  -2.276095   0.370526   0.000000   0.370526   0.089468   0.058225  -0.823908  -0.020318  -0.020318   25.0000     0.1561
  -30.000     0.000  -2.227061   0.356857   0.000000   0.356857   0.089302   0.058203  -0.790922  -0.020432  -0.020432   25.0000     0.1570
  -29.000     0.000  -2.176595   0.342966   0.000000   0.342966   0.089048   0.058160  -0.757120  -0.020526  -0.020526   25.0000     0.1580
  -28.000     0.000  -2.124706   0.328898   0.000000   0.328898   0.088705   0.058098  -0.722545  -0.020599  -0.020599   25.0000     0.1591
  -27.000     0.000  -2.071409   0.314695   0.000000   0.314695   0.088274   0.058018  -0.687238  -0.020650  -0.020650   25.0000     0.1602
  -26.000     0.000  -2.016718   0.300403   0.000000   0.300403   0.087756   0.057920  -0.651242  -0.020680  -0.020680   25.0000     0.1616
  -25.000     0.000  -1.960652   0.286065   0.000000   0.286065   0.087152   0.057805  -0.614601  -0.020690  -0.020690   25.0000     0.1630
  -24.000     0.000  -1.903232   0.271726   0.000000   0.271726   0.086461   0.057675  -0.577359  -0.020677  -0.020677   25.0000     0.1646
  -23.000     0.000  -1.844479   0.257429   0.000000   0.257429   0.085686   0.057529  -0.539563  -0.020644  -0.020644   25.0000     0.1664
  -22.000     0.000  -1.784420   0.243219   0.000000   0.243219   0.084826   0.057369  -0.501257  -0.020591  -0.020591   25.0000     0.1684
  -21.000     0.000  -1.723082   0.229138   0.000000   0.229138   0.083883   0.057196  -0.462489  -0.020516  -0.020516   25.0000     0.1706
  -20.000     0.000  -1.660497   0.215228   0.000000   0.215228   0.082858   0.057009  -0.423306  -0.020421  -0.020421   25.0000     0.1730
  -19.000     0.000  -1.596696   0.201533   0.000000   0.201533   0.081752   0.056811  -0.383756  -0.020306  -0.020306   25.0000     0.1757
  -18.000     0.000  -1.531714   0.188091   0.000000   0.188091   0.080567   0.056602  -0.343886  -0.020171  -0.020171   25.0000     0.1787
  -17.000     0.000  -1.465590   0.174944   0.000000   0.174944   0.079304   0.056382  -0.303746  -0.020017  -0.020017   25.0000     0.1820
  -16.000     0.000  -1.398362   0.162130   0.000000   0.162130   0.077965   0.056153  -0.263385  -0.019844  -0.019844   25.0000     0.1858
  -15.000     0.000  -1.330071   0.149687   0.000000   0.149687   0.076551   0.055914  -0.222850  -0.019652  -0.019652   25.0000     0.1900
