xflr5 v6.53

Plane name :        A-20 E0 R-20
Polar name :        T1-10.0 m/s-VLM2-Inviscid
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.578919   0.488945   0.000000   0.488945   0.094106   0.055619  -1.493645  -0.017546  -0.017546   10.0000     0.1016
  -44.000     0.000  -2.548110   0.481924   0.000000   0.481924   0.095204   0.055990  -1.482432  -0.017981  -0.017981   10.0000     0.1009
  -43.000     0.000  -2.515999   0.474204   0.000000   0.474204   0.096215   0.056331  -1.469815  -0.018403  -0.018403   10.0000     0.1002
  -42.000     0.000  -2.482568   0.465814   0.000000   0.465814   0.097138   0.056641  -1.455811  -0.018809  -0.018809   10.0000     0.0995
  -41.000     0.000  -2.447800   0.456788   0.000000   0.456788   0.097972   0.056920  -1.440437  -0.019201  -0.019201   10.0000     0.0988
  -40.000     0.000  -2.411680   0.447159   0.000000   0.447159   0.098716   0.057171  -1.423710  -0.019576  -0.019576   10.0000     0.0981
  -39.000     0.000  -2.374197   0.436962   0.000000   0.436962   0.099369   0.057392  -1.405653  -0.019934  -0.019934   10.0000     0.0974
  -38.000     0.000  -2.335339   0.426234   0.000000   0.426234   0.099930   0.057584  -1.386286  -0.020275  -0.020275   10.0000     0.0968
  -37.000     0.000  -2.295099   0.415013   0.000000   0.415013   0.100399   0.057748  -1.365634  -0.020598  -0.020598   10.0000     0.0961
  -36.000     0.000  -2.253471   0.403338   0.000000   0.403338   0.100775   0.057885  -1.343721  -0.020901  -0.020901   10.0000     0.0954
  -35.000     0.000  -2.210451   0.391249   0.000000   0.391249   0.101058   0.057994  -1.320574  -0.021185  -0.021185   10.0000     0.0948
  -34.000     0.000  -2.166039   0.378786   0.000000   0.378786   0.101247   0.058078  -1.296222  -0.021449  -0.021449   10.0000     0.0941
  -33.000     0.000  -2.120235   0.365993   0.000000   0.365993   0.101342   0.058136  -1.270694  -0.021692  -0.021692   10.0000     0.0935
  -32.000     0.000  -2.073042   0.352910   0.000000   0.352910   0.101343   0.058169  -1.244020  -0.021915  -0.021915   10.0000     0.0928
  -31.000     0.000  -2.024468   0.339582   0.000000   0.339582   0.101250   0.058178  -1.216235  -0.022115  -0.022115   10.0000     0.0922
  -30.000     0.000  -1.974521   0.326052   0.000000   0.326052   0.101063   0.058164  -1.187371  -0.022294  -0.022294   10.0000     0.0915
  -29.000     0.000  -1.923212   0.312363   0.000000   0.312363   0.100782   0.058127  -1.157463  -0.022451  -0.022451   10.0000     0.0909
  -28.000     0.000  -1.870554   0.298561   0.000000   0.298561   0.100407   0.058069  -1.126549  -0.022585  -0.022585   10.0000     0.0903
  -27.000     0.000  -1.816564   0.284687   0.000000   0.284687   0.099940   0.057990  -1.094666  -0.022697  -0.022697   10.0000     0.0896
  -26.000     0.000  -1.761259   0.270788   0.000000   0.270788   0.099381   0.057891  -1.061852  -0.022786  -0.022786   10.0000     0.0890
  -25.000     0.000  -1.704662   0.256907   0.000000   0.256907   0.098729   0.057773  -1.028147  -0.022851  -0.022851   10.0000     0.0884
  -24.000     0.000  -1.646796   0.243088   0.000000   0.243088   0.097987   0.057637  -0.993593  -0.022894  -0.022894   10.0000     0.0877
  -23.000     0.000  -1.587686   0.229373   0.000000   0.229373   0.097155   0.057483  -0.958232  -0.022914  -0.022914   10.0000     0.0871
  -22.000     0.000  -1.527361   0.215806   0.000000   0.215806   0.096234   0.057313  -0.922107  -0.022911  -0.022911   10.0000     0.0864
  -21.000     0.000  -1.465852   0.202429   0.000000   0.202429   0.095225   0.057128  -0.885262  -0.022884  -0.022884   10.0000     0.0858
