xflr5 v6.53

Plane name :        A-20 E0 R20
Polar name :        T1-15.0 m/s-VLM2-Inviscid
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.846971   0.364777   0.000000   0.364777   0.033034   0.047960  -1.337972  -0.011268  -0.011268   15.0000     0.1212
  -44.000     0.000  -2.810314   0.357036   0.000000   0.357036   0.033108   0.048004  -1.327037  -0.011155  -0.011155   15.0000     0.1206
  -43.000     0.000  -2.772223   0.348779   0.000000   0.348779   0.033052   0.048026  -1.314874  -0.011004  -0.011004   15.0000     0.1199
  -42.000     0.000  -2.732689   0.340039   0.000000   0.340039   0.032867   0.048026  -1.301499  -0.010817  -0.010817   15.0000     0.1193
  -41.000     0.000  -2.691705   0.330851   0.000000   0.330851   0.032552   0.048008  -1.286929  -0.010591  -0.010591   15.0000     0.1186
  -40.000     0.000  -2.649266   0.321251   0.000000   0.321251   0.032108   0.047972  -1.271180  -0.010329  -0.010329   15.0000     0.1180
  -39.000     0.000  -2.605370   0.311276   0.000000   0.311276   0.031535   0.047920  -1.254273  -0.010028  -0.010028   15.0000     0.1173
  -38.000     0.000  -2.560016   0.300962   0.000000   0.300962   0.030835   0.047854  -1.236228  -0.009691  -0.009691   15.0000     0.1167
  -37.000     0.000  -2.513207   0.290348   0.000000   0.290348   0.030007   0.047777  -1.217066  -0.009316  -0.009316   15.0000     0.1161
  -36.000     0.000  -2.464946   0.279473   0.000000   0.279473   0.029054   0.047689  -1.196812  -0.008903  -0.008903   15.0000     0.1155
  -35.000     0.000  -2.415241   0.268376   0.000000   0.268376   0.027976   0.047593  -1.175489  -0.008455  -0.008455   15.0000     0.1149
  -34.000     0.000  -2.364100   0.257097   0.000000   0.257097   0.026774   0.047490  -1.153125  -0.007970  -0.007970   15.0000     0.1143
  -33.000     0.000  -2.311534   0.245676   0.000000   0.245676   0.025451   0.047383  -1.129745  -0.007449  -0.007449   15.0000     0.1137
  -32.000     0.000  -2.257558   0.234155   0.000000   0.234155   0.024006   0.047272  -1.105379  -0.006894  -0.006894   15.0000     0.1132
  -31.000     0.000  -2.202187   0.222572   0.000000   0.222572   0.022444   0.047161  -1.080056  -0.006305  -0.006305   15.0000     0.1126
  -30.000     0.000  -2.145440   0.210970   0.000000   0.210970   0.020764   0.047049  -1.053807  -0.005683  -0.005683   15.0000     0.1120
  -29.000     0.000  -2.087337   0.199388   0.000000   0.199388   0.018970   0.046940  -1.026664  -0.005029  -0.005029   15.0000     0.1115
  -28.000     0.000  -2.027902   0.187866   0.000000   0.187866   0.017063   0.046834  -0.998660  -0.004344  -0.004344   15.0000     0.1109
  -27.000     0.000  -1.967159   0.176444   0.000000   0.176444   0.015046   0.046733  -0.969830  -0.003629  -0.003629   15.0000     0.1104
  -26.000     0.000  -1.905137   0.165162   0.000000   0.165162   0.012921   0.046639  -0.940208  -0.002885  -0.002885   15.0000     0.1099
  -25.000     0.000  -1.841865   0.154058   0.000000   0.154058   0.010691   0.046554  -0.909830  -0.002114  -0.002114   15.0000     0.1093
  -24.000     0.000  -1.777377   0.143170   0.000000   0.143170   0.008358   0.046477  -0.878734  -0.001318  -0.001318   15.0000     0.1088
  -23.000     0.000  -1.711705   0.132537   0.000000   0.132537   0.005926   0.046411  -0.846957  -0.000497  -0.000497   15.0000     0.1083
  -22.000     0.000  -1.644886   0.122193   0.000000   0.122193   0.003398   0.046358  -0.814539   0.000346   0.000346   15.0000     0.1078
  -21.000     0.000  -1.576960   0.112175   0.000000   0.112175   0.000776   0.046317  -0.781517   0.001210   0.001210   15.0000     0.1072
  -20.000     0.000  -1.507966   0.102516   0.000000   0.102516  -0.001937   0.046291  -0.747934   0.002093   0.002093   15.0000     0.1067
  -19.000     0.000  -1.437947   0.093251   0.000000   0.093251  -0.004737   0.046280  -0.713829   0.002994   0.002994   15.0000     0.1062
  -18.000     0.000  -1.366947   0.084410   0.000000   0.084410  -0.007620   0.046285  -0.679245   0.003911   0.003911   15.0000     0.1056
  -17.000     0.000  -1.295012   0.076025   0.000000   0.076025  -0.010584   0.046307  -0.644223   0.004841   0.004841   15.0000     0.1050
  -16.000     0.000  -1.222190   0.068124   0.000000   0.068124  -0.013624   0.046346  -0.608806   0.005783   0.005783   15.0000     0.1044
  -15.000     0.000  -1.148531   0.060735   0.000000   0.060735  -0.016736   0.046404  -0.573037   0.006735   0.006735   15.0000     0.1038
  -14.000     0.000  -1.074086   0.053884   0.000000   0.053884  -0.019918   0.046481  -0.536960   0.007695   0.007695   15.0000     0.1031
  -13.000     0.000  -0.998906   0.047594   0.000000   0.047594  -0.023165   0.046577  -0.500619   0.008660   0.008660   15.0000     0.1023
  -12.000     0.000  -0.923045   0.041889   0.000000   0.041889  -0.026473   0.046693  -0.464058   0.009629   0.009629   15.0000     0.1015
  -11.000     0.000  -0.846560   0.036789   0.000000   0.036789  -0.029839   0.046829  -0.427322   0.010600   0.010600   15.0000     0.1006
  -10.000     0.000  -0.769504   0.032312   0.000000   0.032312  -0.033257   0.046985  -0.390454   0.011571   0.011571   15.0000     0.0995
   -9.000     0.000  -0.691937   0.028476   0.000000   0.028476  -0.036725   0.047161  -0.353501   0.012539   0.012539   15.0000     0.0982
   -8.000     0.000  -0.613915   0.025295   0.000000   0.025295  -0.040237   0.047357  -0.316508   0.013503   0.013503   15.0000     0.0966
   -7.000     0.000  -0.535498   0.022782   0.000000   0.022782  -0.043789   0.047573  -0.279518   0.014459   0.014459   15.0000     0.0946
   -6.000     0.000  -0.456745   0.020947   0.000000   0.020947  -0.047377   0.047808  -0.242578   0.015407   0.015407   15.0000     0.0920
   -5.000     0.000  -0.377716   0.019800   0.000000   0.019800  -0.050998   0.048063  -0.205733   0.016344   0.016344   15.0000     0.0883
   -4.000     0.000  -0.298472   0.019348   0.000000   0.019348  -0.054645   0.048337  -0.169027   0.017269   0.017269   15.0000     0.0826
   -3.000     0.000  -0.219074   0.019593   0.000000   0.019593  -0.058315   0.048630  -0.132505   0.018178   0.018178   15.0000     0.0729
   -2.000     0.000  -0.139583   0.020540   0.000000   0.020540  -0.062004   0.048940  -0.096211   0.019070   0.019070   15.0000     0.0521
   -1.000     0.000  -0.060060   0.022187   0.000000   0.022187  -0.065707   0.049266  -0.060190   0.019944   0.019944   15.0000    -0.0238
    0.000     0.000   0.019434   0.024533   0.000000   0.024533  -0.069419   0.049610  -0.024486   0.020796   0.020796   15.0000     0.5212
    1.000     0.000   0.098837   0.027573   0.000000   0.027573  -0.073135   0.049968   0.010859   0.021626   0.021626   15.0000     0.1904
    2.000     0.000   0.178089   0.031302   0.000000   0.031302  -0.076853   0.050340   0.045800   0.022432   0.022432   15.0000     0.1545
    3.000     0.000   0.257130   0.035710   0.000000   0.035710  -0.080566   0.050726   0.080295   0.023211   0.023211   15.0000     0.1408
    4.000     0.000   0.335899   0.040788   0.000000   0.040788  -0.084270   0.051124   0.114302   0.023962   0.023962   15.0000     0.1336
    5.000     0.000   0.414337   0.046523   0.000000   0.046523  -0.087961   0.051532   0.147781   0.024684   0.024684   15.0000     0.1292
    6.000     0.000   0.492385   0.052900   0.000000   0.052900  -0.091634   0.051949   0.180689   0.025374   0.025374   15.0000     0.1262
    7.000     0.000   0.569986   0.059902   0.000000   0.059902  -0.095285   0.052375   0.212987   0.026032   0.026032   15.0000     0.1242
    8.000     0.000   0.647084   0.067512   0.000000   0.067512  -0.098909   0.052807   0.244636   0.026656   0.026656   15.0000     0.1227
    9.000     0.000   0.723621   0.075707   0.000000   0.075707  -0.102502   0.053244   0.275596   0.027244   0.027244   15.0000     0.1215
   10.000     0.000   0.799544   0.084467   0.000000   0.084467  -0.106060   0.053685   0.305831   0.027796   0.027796   15.0000     0.1207
