xflr5 v6.53

Plane name :        Plane Name
Polar name :        T1-20.0 m/s-VLM2-Inviscid
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.940020   0.420494   0.000000   0.420494  -0.000000   0.000000  -1.669100   0.000000   0.000000   20.0000     0.0933
  -44.000     0.000  -2.902675   0.412835   0.000000   0.412835  -0.000000   0.000000  -1.656091   0.000000   0.000000   20.0000     0.0928
  -43.000     0.000  -2.863906   0.404567   0.000000   0.404567  -0.000000   0.000000  -1.641489   0.000000   0.000000   20.0000     0.0924
  -42.000     0.000  -2.823703   0.395720   0.000000   0.395720  -0.000000   0.000000  -1.625315   0.000000   0.000000   20.0000     0.0919
  -41.000     0.000  -2.782054   0.386327   0.000000   0.386327  -0.000000   0.000000  -1.607585   0.000000   0.000000   20.0000     0.0915
  -40.000     0.000  -2.738949   0.376421   0.000000   0.376421  -0.000000   0.000000  -1.588324   0.000000   0.000000   20.0000     0.0910
  -39.000     0.000  -2.694383   0.366039   0.000000   0.366039  -0.000000   0.000000  -1.567553   0.000000   0.000000   20.0000     0.0906
  -38.000     0.000  -2.648351   0.355218   0.000000   0.355218  -0.000000   0.000000  -1.545299   0.000000   0.000000   20.0000     0.0902
  -37.000     0.000  -2.600850   0.343993   0.000000   0.343993  -0.000000   0.000000  -1.521588   0.000000   0.000000   20.0000     0.0897
  -36.000     0.000  -2.551882   0.332404   0.000000   0.332404  -0.000000   0.000000  -1.496450   0.000000   0.000000   20.0000     0.0893
  -35.000     0.000  -2.501446   0.320491   0.000000   0.320491  -0.000000   0.000000  -1.469914   0.000000   0.000000   20.0000     0.0889
  -34.000     0.000  -2.449550   0.308293   0.000000   0.308293  -0.000000   0.000000  -1.442014   0.000000   0.000000   20.0000     0.0885
  -33.000     0.000  -2.396199   0.295850   0.000000   0.295850  -0.000000   0.000000  -1.412783   0.000000   0.000000   20.0000     0.0882
  -32.000     0.000  -2.341402   0.283204   0.000000   0.283204  -0.000000   0.000000  -1.382256   0.000000   0.000000   20.0000     0.0878
  -31.000     0.000  -2.285172   0.270396   0.000000   0.270396  -0.000000   0.000000  -1.350472   0.000000   0.000000   20.0000     0.0874
  -30.000     0.000  -2.227523   0.257469   0.000000   0.257469  -0.000000   0.000000  -1.317469   0.000000   0.000000   20.0000     0.0871
  -29.000     0.000  -2.168471   0.244463   0.000000   0.244463  -0.000000   0.000000  -1.283286   0.000000   0.000000   20.0000     0.0867
  -28.000     0.000  -2.108036   0.231421   0.000000   0.231421  -0.000000   0.000000  -1.247966   0.000000   0.000000   20.0000     0.0864
  -27.000     0.000  -2.046238   0.218384   0.000000   0.218384  -0.000000   0.000000  -1.211552   0.000000   0.000000   20.0000     0.0860
  -26.000     0.000  -1.983101   0.205394   0.000000   0.205394  -0.000000   0.000000  -1.174088   0.000000   0.000000   20.0000     0.0857
  -25.000     0.000  -1.918652   0.192492   0.000000   0.192492  -0.000000   0.000000  -1.135619   0.000000   0.000000   20.0000     0.0854
