xflr5 v6.53

Plane name :        A0 E0 R20
Polar name :        T1-20.0 m/s-VLM2-Inviscid
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.927263   0.422219   0.000000   0.422219  -0.019617  -0.004262  -1.678411   0.003684   0.003684   20.0000     0.0918
  -44.000     0.000  -2.889413   0.414801   0.000000   0.414801  -0.020679  -0.004423  -1.665844   0.003975   0.003975   20.0000     0.0913
  -43.000     0.000  -2.850143   0.406789   0.000000   0.406789  -0.021755  -0.004580  -1.651688   0.004276   0.004276   20.0000     0.0908
  -42.000     0.000  -2.809440   0.398214   0.000000   0.398214  -0.022846  -0.004730  -1.635961   0.004587   0.004587   20.0000     0.0902
  -41.000     0.000  -2.767297   0.389108   0.000000   0.389108  -0.023948  -0.004874  -1.618682   0.004908   0.004908   20.0000     0.0897
  -40.000     0.000  -2.723703   0.379507   0.000000   0.379507  -0.025062  -0.005011  -1.599871   0.005240   0.005240   20.0000     0.0892
  -39.000     0.000  -2.678655   0.369444   0.000000   0.369444  -0.026186  -0.005140  -1.579553   0.005580   0.005580   20.0000     0.0887
  -38.000     0.000  -2.632148   0.358956   0.000000   0.358956  -0.027318  -0.005260  -1.557751   0.005929   0.005929   20.0000     0.0882
  -37.000     0.000  -2.584182   0.348081   0.000000   0.348081  -0.028457  -0.005372  -1.534492   0.006287   0.006287   20.0000     0.0877
  -36.000     0.000  -2.534756   0.336856   0.000000   0.336856  -0.029601  -0.005474  -1.509804   0.006652   0.006652   20.0000     0.0872
  -35.000     0.000  -2.483875   0.325321   0.000000   0.325321  -0.030750  -0.005566  -1.483718   0.007024   0.007024   20.0000     0.0867
  -34.000     0.000  -2.431544   0.313514   0.000000   0.313514  -0.031901  -0.005647  -1.456265   0.007404   0.007404   20.0000     0.0862
  -33.000     0.000  -2.377770   0.301477   0.000000   0.301477  -0.033054  -0.005717  -1.427479   0.007789   0.007789   20.0000     0.0857
  -32.000     0.000  -2.322565   0.289250   0.000000   0.289250  -0.034207  -0.005776  -1.397394   0.008180   0.008180   20.0000     0.0853
  -31.000     0.000  -2.265940   0.276873   0.000000   0.276873  -0.035358  -0.005823  -1.366048   0.008575   0.008575   20.0000     0.0848
  -30.000     0.000  -2.207911   0.264388   0.000000   0.264388  -0.036507  -0.005858  -1.333479   0.008975   0.008975   20.0000     0.0843
  -29.000     0.000  -2.148495   0.251836   0.000000   0.251836  -0.037651  -0.005880  -1.299726   0.009379   0.009379   20.0000     0.0838
  -28.000     0.000  -2.087712   0.239258   0.000000   0.239258  -0.038790  -0.005889  -1.264830   0.009785   0.009785   20.0000     0.0834
  -27.000     0.000  -2.025584   0.226695   0.000000   0.226695  -0.039922  -0.005885  -1.228834   0.010193   0.010193   20.0000     0.0829
  -26.000     0.000  -1.962136   0.214188   0.000000   0.214188  -0.041045  -0.005867  -1.191783   0.010603   0.010603   20.0000     0.0824
  -25.000     0.000  -1.897394   0.201777   0.000000   0.201777  -0.042159  -0.005836  -1.153720   0.011013   0.011013   20.0000     0.0819
  -24.000     0.000  -1.831387   0.189503   0.000000   0.189503  -0.043261  -0.005791  -1.114692   0.011424   0.011424   20.0000     0.0815
  -23.000     0.000  -1.764148   0.177405   0.000000   0.177405  -0.044351  -0.005732  -1.074747   0.011833   0.011833   20.0000     0.0810
  -22.000     0.000  -1.695709   0.165521   0.000000   0.165521  -0.045427  -0.005659  -1.033934   0.012241   0.012241   20.0000     0.0805
  -21.000     0.000  -1.626106   0.153890   0.000000   0.153890  -0.046489  -0.005571  -0.992302   0.012646   0.012646   20.0000     0.0800
  -20.000     0.000  -1.555378   0.142548   0.000000   0.142548  -0.047533  -0.005469  -0.949902   0.013048   0.013048   20.0000     0.0795
  -19.000     0.000  -1.483564   0.131532   0.000000   0.131532  -0.048560  -0.005354  -0.906786   0.013446   0.013446   20.0000     0.0790
  -18.000     0.000  -1.410706   0.120875   0.000000   0.120875  -0.049569  -0.005224  -0.863006   0.013839   0.013839   20.0000     0.0784
  -17.000     0.000  -1.336848   0.110613   0.000000   0.110613  -0.050557  -0.005080  -0.818615   0.014227   0.014227   20.0000     0.0778
  -16.000     0.000  -1.262037   0.100777   0.000000   0.100777  -0.051523  -0.004922  -0.773668   0.014608   0.014608   20.0000     0.0772
  -15.000     0.000  -1.186319   0.091398   0.000000   0.091398  -0.052467  -0.004750  -0.728219   0.014983   0.014983   20.0000     0.0766
  -14.000     0.000  -1.109744   0.082507   0.000000   0.082507  -0.053388  -0.004565  -0.682324   0.015349   0.015349   20.0000     0.0759
  -13.000     0.000  -1.032364   0.074129   0.000000   0.074129  -0.054284  -0.004366  -0.636039   0.015707   0.015707   20.0000     0.0751
