xflr5 v6.53

Plane name :        A20 E-20 R-20
Polar name :        T1-30.0 m/s-VLM2-Inviscid
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.898545   0.342840   0.000000   0.342840  -0.039017  -0.049042  -1.273504   0.011458   0.011458   30.0000     0.1290
  -44.000     0.000  -2.863052   0.338441   0.000000   0.338441  -0.038942  -0.049063  -1.255367   0.011361   0.011361   30.0000     0.1295
  -43.000     0.000  -2.826336   0.333551   0.000000   0.333551  -0.038747  -0.049061  -1.235860   0.011229   0.011229   30.0000     0.1300
  -42.000     0.000  -2.788389   0.328189   0.000000   0.328189  -0.038431  -0.049039  -1.215007   0.011061   0.011061   30.0000     0.1306
  -41.000     0.000  -2.749204   0.322377   0.000000   0.322377  -0.037996  -0.048998  -1.192833   0.010859   0.010859   30.0000     0.1311
  -40.000     0.000  -2.708776   0.316137   0.000000   0.316137  -0.037441  -0.048941  -1.169365   0.010621   0.010621   30.0000     0.1317
  -39.000     0.000  -2.667099   0.309494   0.000000   0.309494  -0.036768  -0.048868  -1.144633   0.010347   0.010347   30.0000     0.1324
  -38.000     0.000  -2.624172   0.302472   0.000000   0.302472  -0.035977  -0.048781  -1.118665   0.010039   0.010039   30.0000     0.1331
  -37.000     0.000  -2.579992   0.295096   0.000000   0.295096  -0.035070  -0.048683  -1.091493   0.009695   0.009695   30.0000     0.1338
  -36.000     0.000  -2.534560   0.287392   0.000000   0.287392  -0.034046  -0.048575  -1.063152   0.009317   0.009317   30.0000     0.1346
  -35.000     0.000  -2.487879   0.279389   0.000000   0.279389  -0.032909  -0.048458  -1.033675   0.008904   0.008904   30.0000     0.1355
  -34.000     0.000  -2.439951   0.271113   0.000000   0.271113  -0.031658  -0.048334  -1.003097   0.008457   0.008457   30.0000     0.1364
  -33.000     0.000  -2.390783   0.262592   0.000000   0.262592  -0.030296  -0.048205  -0.971458   0.007978   0.007978   30.0000     0.1373
  -32.000     0.000  -2.340382   0.253857   0.000000   0.253857  -0.028823  -0.048073  -0.938794   0.007465   0.007465   30.0000     0.1384
  -31.000     0.000  -2.288756   0.244935   0.000000   0.244935  -0.027243  -0.047939  -0.905146   0.006921   0.006921   30.0000     0.1395
  -30.000     0.000  -2.235917   0.235857   0.000000   0.235857  -0.025557  -0.047805  -0.870555   0.006346   0.006346   30.0000     0.1407
  -29.000     0.000  -2.181876   0.226652   0.000000   0.226652  -0.023767  -0.047671  -0.835062   0.005741   0.005741   30.0000     0.1420
  -28.000     0.000  -2.126648   0.217350   0.000000   0.217350  -0.021874  -0.047541  -0.798712   0.005107   0.005107   30.0000     0.1434
  -27.000     0.000  -2.070250   0.207983   0.000000   0.207983  -0.019882  -0.047414  -0.761548   0.004445   0.004445   30.0000     0.1449
  -26.000     0.000  -2.012699   0.198579   0.000000   0.198579  -0.017793  -0.047293  -0.723616   0.003757   0.003757   30.0000     0.1465
  -25.000     0.000  -1.954014   0.189170   0.000000   0.189170  -0.015610  -0.047179  -0.684962   0.003044   0.003044   30.0000     0.1483
  -24.000     0.000  -1.894218   0.179784   0.000000   0.179784  -0.013334  -0.047073  -0.645633   0.002306   0.002306   30.0000     0.1502
  -23.000     0.000  -1.833333   0.170453   0.000000   0.170453  -0.010969  -0.046977  -0.605677   0.001546   0.001546   30.0000     0.1523
  -22.000     0.000  -1.771385   0.161205   0.000000   0.161205  -0.008518  -0.046890  -0.565142   0.000765   0.000765   30.0000     0.1546
  -21.000     0.000  -1.708400   0.152069   0.000000   0.152069  -0.005984  -0.046816  -0.524079  -0.000035  -0.000035   30.0000     0.1571
  -20.000     0.000  -1.644406   0.143075   0.000000   0.143075  -0.003369  -0.046754  -0.482536  -0.000853  -0.000853   30.0000     0.1598
  -19.000     0.000  -1.579433   0.134249   0.000000   0.134249  -0.000677  -0.046705  -0.440565  -0.001687  -0.001687   30.0000     0.1628
  -18.000     0.000  -1.513514   0.125620   0.000000   0.125620   0.002088  -0.046670  -0.398217  -0.002535  -0.002535   30.0000     0.1661
  -17.000     0.000  -1.446680   0.117215   0.000000   0.117215   0.004924  -0.046651  -0.355543  -0.003397  -0.003397   30.0000     0.1698
  -16.000     0.000  -1.378967   0.109058   0.000000   0.109058   0.007827  -0.046647  -0.312596  -0.004268  -0.004268   30.0000     0.1739
  -15.000     0.000  -1.310411   0.101175   0.000000   0.101175   0.010793  -0.046659  -0.269427  -0.005149  -0.005149   30.0000     0.1784
  -14.000     0.000  -1.241050   0.093591   0.000000   0.093591   0.013819  -0.046689  -0.226090  -0.006037  -0.006037   30.0000     0.1835
  -13.000     0.000  -1.170921   0.086328   0.000000   0.086328   0.016902  -0.046735  -0.182636  -0.006930  -0.006930   30.0000     0.1893
  -12.000     0.000  -1.100066   0.079409   0.000000   0.079409   0.020036  -0.046799  -0.139120  -0.007827  -0.007827   30.0000     0.1959
  -11.000     0.000  -1.028526   0.072854   0.000000   0.072854   0.023219  -0.046880  -0.095594  -0.008725  -0.008725   30.0000     0.2035
  -10.000     0.000  -0.956344   0.066683   0.000000   0.066683   0.026447  -0.046979  -0.052111  -0.009622  -0.009622   30.0000     0.2123
   -9.000     0.000  -0.883563   0.060915   0.000000   0.060915   0.029715  -0.047096  -0.008723  -0.010516  -0.010516   30.0000     0.2226
   -8.000     0.000  -0.810228   0.055567   0.000000   0.055567   0.033020  -0.047231   0.034515  -0.011406  -0.011406   30.0000     0.2348
   -7.000     0.000  -0.736384   0.050654   0.000000   0.050654   0.036358  -0.047384   0.077551  -0.012290  -0.012290   30.0000     0.2496
   -6.000     0.000  -0.662079   0.046193   0.000000   0.046193   0.039725  -0.047553   0.120334  -0.013165  -0.013165   30.0000     0.2677
   -5.000     0.000  -0.587360   0.042195   0.000000   0.042195   0.043116  -0.047740   0.162811  -0.014029  -0.014029   30.0000     0.2906
   -4.000     0.000  -0.512274   0.038672   0.000000   0.038672   0.046527  -0.047944   0.204929  -0.014882  -0.014882   30.0000     0.3202
   -3.000     0.000  -0.436870   0.035635   0.000000   0.035635   0.049955  -0.048163   0.246639  -0.015720  -0.015720   30.0000     0.3602
   -2.000     0.000  -0.361198   0.033092   0.000000   0.033092   0.053395  -0.048398   0.287888  -0.016543  -0.016543   30.0000     0.4170
   -1.000     0.000  -0.285307   0.031051   0.000000   0.031051   0.056842  -0.048648   0.328627  -0.017347  -0.017347   30.0000     0.5042
    0.000     0.000  -0.209247   0.029517   0.000000   0.029517   0.060294  -0.048911   0.368806  -0.018132  -0.018132   30.0000     0.6549
    1.000     0.000  -0.133069   0.028494   0.000000   0.028494   0.063745  -0.049188   0.408377  -0.018896  -0.018896   30.0000     0.9783
    2.000     0.000  -0.056823   0.027984   0.000000   0.027984   0.067191  -0.049477   0.447290  -0.019636  -0.019636   30.0000     2.1695
    3.000     0.000   0.019441   0.027989   0.000000   0.027989   0.070628  -0.049777   0.485498  -0.020353  -0.020353   30.0000    -5.9843
    4.000     0.000   0.095671   0.028507   0.000000   0.028507   0.074052  -0.050087   0.522956  -0.021042  -0.021042   30.0000    -1.1432
    5.000     0.000   0.171817   0.029537   0.000000   0.029537   0.077459  -0.050406   0.559617  -0.021705  -0.021705   30.0000    -0.5958
    6.000     0.000   0.247830   0.031075   0.000000   0.031075   0.080844  -0.050733   0.595437  -0.022338  -0.022338   30.0000    -0.3846
    7.000     0.000   0.323658   0.033114   0.000000   0.033114   0.084204  -0.051066   0.630372  -0.022941  -0.022941   30.0000    -0.2727
    8.000     0.000   0.399252   0.035649   0.000000   0.035649   0.087534  -0.051404   0.664379  -0.023512  -0.023512   30.0000    -0.2033
    9.000     0.000   0.474563   0.038670   0.000000   0.038670   0.090831  -0.051745   0.697417  -0.024050  -0.024050   30.0000    -0.1560
   10.000     0.000   0.549542   0.042168   0.000000   0.042168   0.094090  -0.052088   0.729446  -0.024554  -0.024554   30.0000    -0.1218
   11.000     0.000   0.624142   0.046130   0.000000   0.046130   0.097307  -0.052432   0.760426  -0.025023  -0.025023   30.0000    -0.0957
   12.000     0.000   0.698313   0.050545   0.000000   0.050545   0.100478  -0.052775   0.790321  -0.025455  -0.025455   30.0000    -0.0753
   13.000     0.000   0.772011   0.055397   0.000000   0.055397   0.103600  -0.053115   0.819093  -0.025851  -0.025851   30.0000    -0.0588
   14.000     0.000   0.845188   0.060671   0.000000   0.060671   0.106669  -0.053451   0.846708  -0.026209  -0.026209   30.0000    -0.0452
   15.000     0.000   0.917801   0.066349   0.000000   0.066349   0.109681  -0.053781   0.873132  -0.026528  -0.026528   30.0000    -0.0337
   16.000     0.000   0.989805   0.072414   0.000000   0.072414   0.112632  -0.054103   0.898332  -0.026809  -0.026809   30.0000    -0.0240
   17.000     0.000   1.061158   0.078845   0.000000   0.078845   0.115518  -0.054415   0.922278  -0.027050  -0.027050   30.0000    -0.0155
   18.000     0.000   1.131817   0.085622   0.000000   0.085622   0.118337  -0.054717   0.944941  -0.027251  -0.027251   30.0000    -0.0082
   19.000     0.000   1.201744   0.092723   0.000000   0.092723   0.121085  -0.055005   0.966294  -0.027412  -0.027412   30.0000    -0.0017
   20.000     0.000   1.270898   0.100124   0.000000   0.100124   0.123758  -0.055279   0.986309  -0.027532  -0.027532   30.0000     0.0041
   21.000     0.000   1.339241   0.107803   0.000000   0.107803   0.126353  -0.055536   1.004964  -0.027612  -0.027612   30.0000     0.0093
   22.000     0.000   1.406738   0.115734   0.000000   0.115734   0.128868  -0.055775   1.022234  -0.027651  -0.027651   30.0000     0.0140
   23.000     0.000   1.473354   0.123891   0.000000   0.123891   0.131298  -0.055994   1.038099  -0.027650  -0.027650   30.0000     0.0183
   24.000     0.000   1.539055   0.132248   0.000000   0.132248   0.133641  -0.056191   1.052540  -0.027609  -0.027609   30.0000     0.0222
   25.000     0.000   1.603810   0.140777   0.000000   0.140777   0.135894  -0.056365   1.065540  -0.027528  -0.027528   30.0000     0.0258
   26.000     0.000   1.667588   0.149451   0.000000   0.149451   0.138055  -0.056513   1.077081  -0.027407  -0.027407   30.0000     0.0292
   27.000     0.000   1.730360   0.158241   0.000000   0.158241   0.140121  -0.056635   1.087151  -0.027247  -0.027247   30.0000     0.0322
   28.000     0.000   1.792100   0.167118   0.000000   0.167118   0.142088  -0.056728   1.095736  -0.027049  -0.027049   30.0000     0.0351
   29.000     0.000   1.852783   0.176053   0.000000   0.176053   0.143956  -0.056792   1.102827  -0.026813  -0.026813   30.0000     0.0378
   30.000     0.000   1.912385   0.185016   0.000000   0.185016   0.145721  -0.056823   1.108415  -0.026540  -0.026540   30.0000     0.0404
