xflr5 v6.53

Plane name :        A20 E-20 R0
Polar name :        T1-30.0 m/s-VLM2-Inviscid
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000   7.202936   6.352765   0.000000   6.352765  -0.561265  -0.178615  -1.231143   0.131649   0.131649   30.0000    -0.0552
  -44.000     0.000   6.778728   6.306210   0.000000   6.306210  -0.565500  -0.177457  -1.213367   0.134788   0.134788   30.0000    -0.0581
  -43.000     0.000   6.360981   6.245336   0.000000   6.245336  -0.568858  -0.176026  -1.194274   0.137706   0.137706   30.0000    -0.0613
  -42.000     0.000   5.950459   6.170624   0.000000   6.170624  -0.571336  -0.174331  -1.173889   0.140390   0.140390   30.0000    -0.0649
  -41.000     0.000   5.547901   6.082593   0.000000   6.082593  -0.572930  -0.172384  -1.152236   0.142829   0.142829   30.0000    -0.0688
  -40.000     0.000   5.154015   5.981798   0.000000   5.981798  -0.573639  -0.170195  -1.129341   0.145012   0.145012   30.0000    -0.0733
  -39.000     0.000   4.769476   5.868825   0.000000   5.868825  -0.573462  -0.167777  -1.105233   0.146929   0.146929   30.0000    -0.0783
  -38.000     0.000   4.394929   5.744296   0.000000   5.744296  -0.572398  -0.165142  -1.079941   0.148570   0.148570   30.0000    -0.0839
  -37.000     0.000   4.030983   5.608860   0.000000   5.608860  -0.570449  -0.162304  -1.053495   0.149927   0.149927   30.0000    -0.0904
  -36.000     0.000   3.678214   5.463196   0.000000   5.463196  -0.567618  -0.159275  -1.025928   0.150990   0.150990   30.0000    -0.0978
  -35.000     0.000   3.337156   5.308010   0.000000   5.308010  -0.563908  -0.156071  -0.997274   0.151753   0.151753   30.0000    -0.1064
  -34.000     0.000   3.008307   5.144030   0.000000   5.144030  -0.559324  -0.152706  -0.967567   0.152210   0.152210   30.0000    -0.1164
  -33.000     0.000   2.692126   4.972009   0.000000   4.972009  -0.553870  -0.149194  -0.936843   0.152354   0.152354   30.0000    -0.1282
  -32.000     0.000   2.389027   4.792720   0.000000   4.792720  -0.547554  -0.145551  -0.905140   0.152181   0.152181   30.0000    -0.1423
  -31.000     0.000   2.099387   4.606952   0.000000   4.606952  -0.540384  -0.141792  -0.872497   0.151686   0.151686   30.0000    -0.1595
  -30.000     0.000   1.823537   4.415510   0.000000   4.415510  -0.532368  -0.137932  -0.838953   0.150867   0.150867   30.0000    -0.1807
  -29.000     0.000   1.561763   4.219216   0.000000   4.219216  -0.523515  -0.133987  -0.804550   0.149721   0.149721   30.0000    -0.2075
