xflr5 v6.53

Plane name :        A-20 E20 R0
Polar name :        T1-25.0 m/s-VLM2-Inviscid
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.719029   0.289776   0.000000   0.289776   0.124785   0.068560  -1.613987  -0.030667  -0.030667   25.0000     0.0760
  -44.000     0.000  -2.677075   0.283295   0.000000   0.283295   0.125814   0.068554  -1.608636  -0.031202  -0.031202   25.0000     0.0746
  -43.000     0.000  -2.633839   0.276424   0.000000   0.276424   0.126631   0.068488  -1.601928  -0.031681  -0.031681   25.0000     0.0732
  -42.000     0.000  -2.589322   0.269190   0.000000   0.269190   0.127234   0.068365  -1.593872  -0.032104  -0.032104   25.0000     0.0717
  -41.000     0.000  -2.543521   0.261620   0.000000   0.261620   0.127624   0.068187  -1.584477  -0.032468  -0.032468   25.0000     0.0702
  -40.000     0.000  -2.496438   0.253744   0.000000   0.253744   0.127799   0.067956  -1.573755  -0.032771  -0.032771   25.0000     0.0686
  -39.000     0.000  -2.448077   0.245591   0.000000   0.245591   0.127759   0.067676  -1.561719  -0.033012  -0.033012   25.0000     0.0670
  -38.000     0.000  -2.398442   0.237190   0.000000   0.237190   0.127504   0.067349  -1.548383  -0.033189  -0.033189   25.0000     0.0654
  -37.000     0.000  -2.347540   0.228571   0.000000   0.228571   0.127036   0.066978  -1.533764  -0.033301  -0.033301   25.0000     0.0637
  -36.000     0.000  -2.295381   0.219766   0.000000   0.219766   0.126353   0.066567  -1.517880  -0.033346  -0.033346   25.0000     0.0620
  -35.000     0.000  -2.241973   0.210807   0.000000   0.210807   0.125457   0.066118  -1.500749  -0.033324  -0.033324   25.0000     0.0601
  -34.000     0.000  -2.187331   0.201723   0.000000   0.201723   0.124350   0.065634  -1.482394  -0.033234  -0.033234   25.0000     0.0582
  -33.000     0.000  -2.131467   0.192548   0.000000   0.192548   0.123032   0.065120  -1.462835  -0.033075  -0.033075   25.0000     0.0562
  -32.000     0.000  -2.074399   0.183313   0.000000   0.183313   0.121505   0.064577  -1.442098  -0.032847  -0.032847   25.0000     0.0542
  -31.000     0.000  -2.016144   0.174050   0.000000   0.174050   0.119771   0.064010  -1.420207  -0.032549  -0.032549   25.0000     0.0520
  -30.000     0.000  -1.956723   0.164790   0.000000   0.164790   0.117832   0.063421  -1.397188  -0.032182  -0.032182   25.0000     0.0497
  -29.000     0.000  -1.896156   0.155566   0.000000   0.155566   0.115690   0.062814  -1.373071  -0.031744  -0.031744   25.0000     0.0473
  -28.000     0.000  -1.834469   0.146409   0.000000   0.146409   0.113349   0.062192  -1.347884  -0.031238  -0.031238   25.0000     0.0447
  -27.000     0.000  -1.771686   0.137350   0.000000   0.137350   0.110810   0.061559  -1.321658  -0.030663  -0.030663   25.0000     0.0419
  -26.000     0.000  -1.707834   0.128420   0.000000   0.128420   0.108078   0.060918  -1.294425  -0.030019  -0.030019   25.0000     0.0390
  -25.000     0.000  -1.642943   0.119648   0.000000   0.119648   0.105154   0.060271  -1.266219  -0.029308  -0.029308   25.0000     0.0359
  -24.000     0.000  -1.577044   0.111065   0.000000   0.111065   0.102044   0.059623  -1.237072  -0.028531  -0.028531   25.0000     0.0325
  -23.000     0.000  -1.510169   0.102699   0.000000   0.102699   0.098750   0.058976  -1.207022  -0.027689  -0.027689   25.0000     0.0288
  -22.000     0.000  -1.442352   0.094578   0.000000   0.094578   0.095277   0.058334  -1.176105  -0.026782  -0.026782   25.0000     0.0248
  -21.000     0.000  -1.373630   0.086730   0.000000   0.086730   0.091628   0.057700  -1.144357  -0.025814  -0.025814   25.0000     0.0203
  -20.000     0.000  -1.304038   0.079180   0.000000   0.079180   0.087809   0.057076  -1.111819  -0.024785  -0.024785   25.0000     0.0155
  -19.000     0.000  -1.233617   0.071956   0.000000   0.071956   0.083824   0.056466  -1.078530  -0.023697  -0.023697   25.0000     0.0100
  -18.000     0.000  -1.162407   0.065080   0.000000   0.065080   0.079678   0.055872  -1.044529  -0.022552  -0.022552   25.0000     0.0040
  -17.000     0.000  -1.090449   0.058576   0.000000   0.058576   0.075376   0.055297  -1.009860  -0.021353  -0.021353   25.0000    -0.0029
  -16.000     0.000  -1.017786   0.052466   0.000000   0.052466   0.070923   0.054744  -0.974563  -0.020102  -0.020102   25.0000    -0.0108
  -15.000     0.000  -0.944463   0.046772   0.000000   0.046772   0.066324   0.054215  -0.938682  -0.018801  -0.018801   25.0000    -0.0199
  -14.000     0.000  -0.870524   0.041511   0.000000   0.041511   0.061586   0.053713  -0.902260  -0.017453  -0.017453   25.0000    -0.0305
  -13.000     0.000  -0.796017   0.036703   0.000000   0.036703   0.056714   0.053239  -0.865343  -0.016061  -0.016061   25.0000    -0.0431
  -12.000     0.000  -0.720988   0.032365   0.000000   0.032365   0.051713   0.052797  -0.827975  -0.014626  -0.014626   25.0000    -0.0583
  -11.000     0.000  -0.645487   0.028510   0.000000   0.028510   0.046591   0.052387  -0.790201  -0.013154  -0.013154   25.0000    -0.0771
  -10.000     0.000  -0.569561   0.025154   0.000000   0.025154   0.041352   0.052013  -0.752067  -0.011645  -0.011645   25.0000    -0.1010
   -9.000     0.000  -0.493262   0.022309   0.000000   0.022309   0.036004   0.051675  -0.713621  -0.010105  -0.010105   25.0000    -0.1323
   -8.000     0.000  -0.416640   0.019985   0.000000   0.019985   0.030554   0.051375  -0.674908  -0.008535  -0.008535   25.0000    -0.1750
   -7.000     0.000  -0.339746   0.018190   0.000000   0.018190   0.025007   0.051114  -0.635976  -0.006939  -0.006939   25.0000    -0.2372
   -6.000     0.000  -0.262632   0.016933   0.000000   0.016933   0.019370   0.050894  -0.596873  -0.005321  -0.005321   25.0000    -0.3360
   -5.000     0.000  -0.185350   0.016220   0.000000   0.016220   0.013651   0.050716  -0.557645  -0.003684  -0.003684   25.0000    -0.5172
   -4.000     0.000  -0.107951   0.016054   0.000000   0.016054   0.007857   0.050581  -0.518342  -0.002031  -0.002031   25.0000    -0.9583
   -3.000     0.000  -0.030490   0.016437   0.000000   0.016437   0.001993   0.050488  -0.479010  -0.000367  -0.000367   25.0000    -3.6407
   -2.000     0.000   0.046982   0.017371   0.000000   0.017371  -0.003931   0.050440  -0.439698   0.001306   0.001306   25.0000     2.5228
   -1.000     0.000   0.124412   0.018855   0.000000   0.018855  -0.009910   0.050436  -0.400453   0.002983   0.002983   25.0000     1.0129
    0.000     0.000   0.201747   0.020885   0.000000   0.020885  -0.015936   0.050476  -0.361323   0.004661   0.004661   25.0000     0.6615
    1.000     0.000   0.278935   0.023458   0.000000   0.023458  -0.022002   0.050561  -0.322357   0.006337   0.006337   25.0000     0.5050
    2.000     0.000   0.355924   0.026567   0.000000   0.026567  -0.028100   0.050690  -0.283601   0.008006   0.008006   25.0000     0.4165
    3.000     0.000   0.432662   0.030205   0.000000   0.030205  -0.034222   0.050862  -0.245103   0.009666   0.009666   25.0000     0.3595
    4.000     0.000   0.509097   0.034363   0.000000   0.034363  -0.040362   0.051078  -0.206910   0.011312   0.011312   25.0000     0.3198
    5.000     0.000   0.585180   0.039029   0.000000   0.039029  -0.046512   0.051337  -0.169067   0.012941   0.012941   25.0000     0.2906
    6.000     0.000   0.660859   0.044191   0.000000   0.044191  -0.052664   0.051638  -0.131622   0.014549   0.014549   25.0000     0.2682
    7.000     0.000   0.736087   0.049835   0.000000   0.049835  -0.058811   0.051979  -0.094620   0.016134   0.016134   25.0000     0.2504
    8.000     0.000   0.810813   0.055946   0.000000   0.055946  -0.064945   0.052360  -0.058105   0.017691   0.017691   25.0000     0.2361
    9.000     0.000   0.884991   0.062506   0.000000   0.062506  -0.071059   0.052779  -0.022123   0.019217   0.019217   25.0000     0.2242
   10.000     0.000   0.958574   0.069497   0.000000   0.069497  -0.077146   0.053235   0.013282   0.020709   0.020709   25.0000     0.2142
   11.000     0.000   1.031516   0.076899   0.000000   0.076899  -0.083198   0.053725   0.048068   0.022164   0.022164   25.0000     0.2057
   12.000     0.000   1.103774   0.084692   0.000000   0.084692  -0.089207   0.054249   0.082193   0.023578   0.023578   25.0000     0.1984
   13.000     0.000   1.175303   0.092853   0.000000   0.092853  -0.095167   0.054804   0.115614   0.024949   0.024949   25.0000     0.1921
   14.000     0.000   1.246062   0.101357   0.000000   0.101357  -0.101070   0.055388   0.148291   0.026275   0.026275   25.0000     0.1866
   15.000     0.000   1.316011   0.110182   0.000000   0.110182  -0.106909   0.055999   0.180184   0.027551   0.027551   25.0000     0.1817
   16.000     0.000   1.385111   0.119301   0.000000   0.119301  -0.112676   0.056634   0.211254   0.028775   0.028775   25.0000     0.1773
   17.000     0.000   1.453323   0.128686   0.000000   0.128686  -0.118365   0.057291   0.241464   0.029946   0.029946   25.0000     0.1734
   18.000     0.000   1.520612   0.138312   0.000000   0.138312  -0.123969   0.057967   0.270776   0.031060   0.031060   25.0000     0.1700
   19.000     0.000   1.586944   0.148148   0.000000   0.148148  -0.129481   0.058659   0.299156   0.032116   0.032116   25.0000     0.1668
   20.000     0.000   1.652285   0.158167   0.000000   0.158167  -0.134895   0.059366   0.326567   0.033111   0.033111   25.0000     0.1640
   21.000     0.000   1.716605   0.168337   0.000000   0.168337  -0.140203   0.060083   0.352977   0.034044   0.034044   25.0000     0.1614
   22.000     0.000   1.779875   0.178630   0.000000   0.178630  -0.145399   0.060808   0.378354   0.034913   0.034913   25.0000     0.1591
   23.000     0.000   1.842065   0.189012   0.000000   0.189012  -0.150477   0.061537   0.402667   0.035716   0.035716   25.0000     0.1570
   24.000     0.000   1.903152   0.199454   0.000000   0.199454  -0.155431   0.062268   0.425886   0.036451   0.036451   25.0000     0.1550
   25.000     0.000   1.963111   0.209923   0.000000   0.209923  -0.160254   0.062998   0.447983   0.037119   0.037119   25.0000     0.1532
   26.000     0.000   2.021919   0.220388   0.000000   0.220388  -0.164941   0.063722   0.468931   0.037717   0.037717   25.0000     0.1516
   27.000     0.000   2.079556   0.230816   0.000000   0.230816  -0.169487   0.064439   0.488705   0.038245   0.038245   25.0000     0.1501
   28.000     0.000   2.136005   0.241175   0.000000   0.241175  -0.173884   0.065144   0.507280   0.038702   0.038702   25.0000     0.1487
   29.000     0.000   2.191249   0.251432   0.000000   0.251432  -0.178129   0.065834   0.524633   0.039087   0.039087   25.0000     0.1474
   30.000     0.000   2.245272   0.261556   0.000000   0.261556  -0.182216   0.066506   0.540744   0.039401   0.039401   25.0000     0.1463
   31.000     0.000   2.298063   0.271515   0.000000   0.271515  -0.186140   0.067157   0.555593   0.039643   0.039643   25.0000     0.1452
   32.000     0.000   2.349610   0.281277   0.000000   0.281277  -0.189897   0.067782   0.569162   0.039814   0.039814   25.0000     0.1442
   33.000     0.000   2.399904   0.290811   0.000000   0.290811  -0.193481   0.068380   0.581434   0.039913   0.039913   25.0000     0.1432
   34.000     0.000   2.448939   0.300085   0.000000   0.300085  -0.196888   0.068946   0.592395   0.039941   0.039941   25.0000     0.1424
   35.000     0.000   2.496708   0.309071   0.000000   0.309071  -0.200114   0.069478   0.602031   0.039898   0.039898   25.0000     0.1416
   36.000     0.000   2.543210   0.317737   0.000000   0.317737  -0.203156   0.069972   0.610329   0.039786   0.039786   25.0000     0.1408
   37.000     0.000   2.588441   0.326056   0.000000   0.326056  -0.206009   0.070425   0.617282   0.039605   0.039605   25.0000     0.1401
   38.000     0.000   2.632402   0.333998   0.000000   0.333998  -0.208670   0.070834   0.622878   0.039357   0.039357   25.0000     0.1395
   39.000     0.000   2.675094   0.341538   0.000000   0.341538  -0.211136   0.071196   0.627113   0.039043   0.039043   25.0000     0.1389
   40.000     0.000   2.716522   0.348647   0.000000   0.348647  -0.213404   0.071508   0.629981   0.038664   0.038664   25.0000     0.1384
   41.000     0.000   2.756689   0.355303   0.000000   0.355303  -0.215471   0.071768   0.631477   0.038223   0.038223   25.0000     0.1378
   42.000     0.000   2.795604   0.361479   0.000000   0.361479  -0.217334   0.071972   0.631601   0.037720   0.037720   25.0000     0.1374
   43.000     0.000   2.833273   0.367153   0.000000   0.367153  -0.218991   0.072118   0.630353   0.037158   0.037158   25.0000     0.1369
   44.000     0.000   2.869706   0.372303   0.000000   0.372303  -0.220441   0.072203   0.627733   0.036539   0.036539   25.0000     0.1365
   45.000     0.000   2.904915   0.376909   0.000000   0.376909  -0.221681   0.072226   0.623745   0.035865   0.035865   25.0000     0.1361


