xflr5 v6.53

Plane name :        A0 E-20 R-20
Polar name :        T1-15.0 m/s-VLM2-Inviscid
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -3.019440   0.477950   0.000000   0.477950   0.016326   0.004096  -1.490456  -0.003165  -0.003165   15.0000     0.1203
  -44.000     0.000  -2.985530   0.471704   0.000000   0.471704   0.017232   0.004245  -1.471006  -0.003414  -0.003414   15.0000     0.1207
  -43.000     0.000  -2.950249   0.464777   0.000000   0.464777   0.018152   0.004390  -1.449962  -0.003673  -0.003673   15.0000     0.1211
  -42.000     0.000  -2.913581   0.457196   0.000000   0.457196   0.019085   0.004529  -1.427350  -0.003940  -0.003940   15.0000     0.1215
  -41.000     0.000  -2.875510   0.448990   0.000000   0.448990   0.020028   0.004663  -1.403198  -0.004216  -0.004216   15.0000     0.1220
  -40.000     0.000  -2.836023   0.440188   0.000000   0.440188   0.020982   0.004791  -1.377536  -0.004501  -0.004501   15.0000     0.1225
  -39.000     0.000  -2.795109   0.430823   0.000000   0.430823   0.021946   0.004911  -1.350394  -0.004793  -0.004793   15.0000     0.1230
  -38.000     0.000  -2.752759   0.420927   0.000000   0.420927   0.022917   0.005025  -1.321806  -0.005093  -0.005093   15.0000     0.1236
  -37.000     0.000  -2.708965   0.410535   0.000000   0.410535   0.023894   0.005130  -1.291806  -0.005400  -0.005400   15.0000     0.1242
  -36.000     0.000  -2.663723   0.399681   0.000000   0.399681   0.024877   0.005228  -1.260431  -0.005714  -0.005714   15.0000     0.1249
  -35.000     0.000  -2.617029   0.388403   0.000000   0.388403   0.025865   0.005316  -1.227720  -0.006034  -0.006034   15.0000     0.1256
  -34.000     0.000  -2.568882   0.376737   0.000000   0.376737   0.026855   0.005395  -1.193711  -0.006360  -0.006360   15.0000     0.1264
  -33.000     0.000  -2.519285   0.364721   0.000000   0.364721   0.027848   0.005465  -1.158448  -0.006691  -0.006691   15.0000     0.1272
  -32.000     0.000  -2.468241   0.352396   0.000000   0.352396   0.028841   0.005525  -1.121971  -0.007028  -0.007028   15.0000     0.1281
  -31.000     0.000  -2.415756   0.339800   0.000000   0.339800   0.029833   0.005574  -1.084327  -0.007368  -0.007368   15.0000     0.1291
  -30.000     0.000  -2.361838   0.326973   0.000000   0.326973   0.030824   0.005613  -1.045561  -0.007712  -0.007712   15.0000     0.1302
  -29.000     0.000  -2.306499   0.313956   0.000000   0.313956   0.031812   0.005640  -1.005719  -0.008059  -0.008059   15.0000     0.1314
  -28.000     0.000  -2.249750   0.300790   0.000000   0.300790   0.032796   0.005656  -0.964851  -0.008408  -0.008408   15.0000     0.1326
  -27.000     0.000  -2.191608   0.287516   0.000000   0.287516   0.033774   0.005661  -0.923007  -0.008760  -0.008760   15.0000     0.1340
  -26.000     0.000  -2.132091   0.274175   0.000000   0.274175   0.034746   0.005654  -0.880237  -0.009113  -0.009113   15.0000     0.1355
  -25.000     0.000  -2.071218   0.260808   0.000000   0.260808   0.035710   0.005635  -0.836593  -0.009466  -0.009466   15.0000     0.1371
  -24.000     0.000  -2.009012   0.247456   0.000000   0.247456   0.036665   0.005604  -0.792129  -0.009819  -0.009819   15.0000     0.1389
  -23.000     0.000  -1.945498   0.234159   0.000000   0.234159   0.037610   0.005561  -0.746899  -0.010171  -0.010171   15.0000     0.1408
  -22.000     0.000  -1.880704   0.220959   0.000000   0.220959   0.038544   0.005505  -0.700958  -0.010523  -0.010523   15.0000     0.1429
  -21.000     0.000  -1.814658   0.207895   0.000000   0.207895   0.039466   0.005437  -0.654361  -0.010872  -0.010872   15.0000     0.1453
  -20.000     0.000  -1.747392   0.195005   0.000000   0.195005   0.040374   0.005357  -0.607167  -0.011218  -0.011218   15.0000     0.1478
  -19.000     0.000  -1.678940   0.182329   0.000000   0.182329   0.041267   0.005264  -0.559431  -0.011561  -0.011561   15.0000     0.1507
  -18.000     0.000  -1.609339   0.169904   0.000000   0.169904   0.042145   0.005159  -0.511213  -0.011900  -0.011900   15.0000     0.1538
  -17.000     0.000  -1.538626   0.157768   0.000000   0.157768   0.043006   0.005041  -0.462571  -0.012234  -0.012234   15.0000     0.1573
  -16.000     0.000  -1.466841   0.145955   0.000000   0.145955   0.043849   0.004912  -0.413564  -0.012563  -0.012563   15.0000     0.1611
  -15.000     0.000  -1.394027   0.134500   0.000000   0.134500   0.044674   0.004770  -0.364252  -0.012886  -0.012886   15.0000     0.1655
  -14.000     0.000  -1.320228   0.123437   0.000000   0.123437   0.045478   0.004617  -0.314696  -0.013203  -0.013203   15.0000     0.1704
  -13.000     0.000  -1.245489   0.112798   0.000000   0.112798   0.046262   0.004451  -0.264955  -0.013511  -0.013511   15.0000     0.1760
  -12.000     0.000  -1.169859   0.102614   0.000000   0.102614   0.047024   0.004275  -0.215089  -0.013813  -0.013813   15.0000     0.1823
  -11.000     0.000  -1.093386   0.092914   0.000000   0.092914   0.047764   0.004087  -0.165161  -0.014105  -0.014105   15.0000     0.1896
  -10.000     0.000  -1.016122   0.083725   0.000000   0.083725   0.048479   0.003888  -0.115231  -0.014388  -0.014388   15.0000     0.1981
   -9.000     0.000  -0.938118   0.075074   0.000000   0.075074   0.049171   0.003679  -0.065359  -0.014662  -0.014662   15.0000     0.2081
   -8.000     0.000  -0.859430   0.066985   0.000000   0.066985   0.049837   0.003460  -0.015606  -0.014925  -0.014925   15.0000     0.2201
   -7.000     0.000  -0.780111   0.059480   0.000000   0.059480   0.050477   0.003231   0.033967  -0.015178  -0.015178   15.0000     0.2345
   -6.000     0.000  -0.700218   0.052581   0.000000   0.052581   0.051090   0.002992   0.083299  -0.015419  -0.015419   15.0000     0.2523
   -5.000     0.000  -0.619809   0.046306   0.000000   0.046306   0.051675   0.002745   0.132332  -0.015648  -0.015648   15.0000     0.2749
   -4.000     0.000  -0.538942   0.040672   0.000000   0.040672   0.052232   0.002489   0.181004  -0.015865  -0.015865   15.0000     0.3044
   -3.000     0.000  -0.457677   0.035694   0.000000   0.035694   0.052760   0.002225   0.229256  -0.016069  -0.016069   15.0000     0.3445
   -2.000     0.000  -0.376072   0.031385   0.000000   0.031385   0.053258   0.001953   0.277031  -0.016260  -0.016260   15.0000     0.4021
   -1.000     0.000  -0.294190   0.027755   0.000000   0.027755   0.053726   0.001675   0.324269  -0.016437  -0.016437   15.0000     0.4919
    0.000     0.000  -0.212091   0.024814   0.000000   0.024814   0.054164   0.001390   0.370913  -0.016601  -0.016601   15.0000     0.6515
    1.000     0.000  -0.129837   0.022567   0.000000   0.022567   0.054569   0.001099   0.416906  -0.016750  -0.016750   15.0000     1.0136
    2.000     0.000  -0.047490   0.021020   0.000000   0.021020   0.054943   0.000803   0.462192  -0.016884  -0.016884   15.0000     2.6319
    3.000     0.000   0.034887   0.020175   0.000000   0.020175   0.055285   0.000503   0.506716  -0.017003  -0.017003   15.0000    -3.3919
    4.000     0.000   0.117234   0.020032   0.000000   0.020032   0.055594   0.000198   0.550425  -0.017107  -0.017107   15.0000    -0.9523
    5.000     0.000   0.199488   0.020588   0.000000   0.020588   0.055869  -0.000110   0.593263  -0.017196  -0.017196   15.0000    -0.5259
    6.000     0.000   0.281586   0.021840   0.000000   0.021840   0.056111  -0.000421   0.635180  -0.017269  -0.017269   15.0000    -0.3486
    7.000     0.000   0.363467   0.023781   0.000000   0.023781   0.056320  -0.000734   0.676124  -0.017326  -0.017326   15.0000    -0.2514
    8.000     0.000   0.445070   0.026404   0.000000   0.026404   0.056494  -0.001049   0.716046  -0.017367  -0.017367   15.0000    -0.1900
    9.000     0.000   0.526335   0.029696   0.000000   0.029696   0.056635  -0.001364   0.754896  -0.017392  -0.017392   15.0000    -0.1477
   10.000     0.000   0.607201   0.033647   0.000000   0.033647   0.056740  -0.001680   0.792627  -0.017402  -0.017402   15.0000    -0.1167
   11.000     0.000   0.687609   0.038241   0.000000   0.038241   0.056812  -0.001995   0.829194  -0.017395  -0.017395   15.0000    -0.0930
   12.000     0.000   0.767501   0.043462   0.000000   0.043462   0.056848  -0.002309   0.864552  -0.017372  -0.017372   15.0000    -0.0743
   13.000     0.000   0.846819   0.049291   0.000000   0.049291   0.056850  -0.002621   0.898657  -0.017333  -0.017333   15.0000    -0.0592
   14.000     0.000   0.925508   0.055708   0.000000   0.055708   0.056818  -0.002931   0.931469  -0.017278  -0.017278   15.0000    -0.0467
   15.000     0.000   1.003512   0.062691   0.000000   0.062691   0.056751  -0.003238   0.962947  -0.017208  -0.017208   15.0000    -0.0361
   16.000     0.000   1.080777   0.070215   0.000000   0.070215   0.056649  -0.003541   0.993053  -0.017121  -0.017121   15.0000    -0.0271
   17.000     0.000   1.157251   0.078255   0.000000   0.078255   0.056513  -0.003840   1.021750  -0.017020  -0.017020   15.0000    -0.0193
