xflr5 v6.53

Plane name :        A0 E-20 R0
Polar name :        T1-25.0 m/s-VLM2-Inviscid
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -30.000     0.000  -2.359496   0.320651   0.000000   0.320651  -0.000000  -0.000000  -1.053696   0.000000   0.000000   25.0000     0.1288
  -29.000     0.000  -2.303967   0.307470   0.000000   0.307470  -0.000000  -0.000000  -1.014104   0.000000   0.000000   25.0000     0.1299
  -28.000     0.000  -2.247024   0.294145   0.000000   0.294145  -0.000000  -0.000000  -0.973484   0.000000   0.000000   25.0000     0.1311
  -27.000     0.000  -2.188682   0.280716   0.000000   0.280716  -0.000000  -0.000000  -0.931885   0.000000   0.000000   25.0000     0.1325
  -26.000     0.000  -2.128961   0.267227   0.000000   0.267227  -0.000000  -0.000000  -0.889357   0.000000   0.000000   25.0000     0.1339
  -25.000     0.000  -2.067879   0.253716   0.000000   0.253716  -0.000000  -0.000000  -0.845952   0.000000   0.000000   25.0000     0.1354
  -24.000     0.000  -2.005460   0.240227   0.000000   0.240227  -0.000000  -0.000000  -0.801724   0.000000   0.000000   25.0000     0.1371
  -23.000     0.000  -1.941729   0.226800   0.000000   0.226800  -0.000000  -0.000000  -0.756726   0.000000   0.000000   25.0000     0.1390
  -22.000     0.000  -1.876714   0.213476   0.000000   0.213476  -0.000000  -0.000000  -0.711013   0.000000   0.000000   25.0000     0.1410
  -21.000     0.000  -1.810444   0.200294   0.000000   0.200294  -0.000000  -0.000000  -0.664640   0.000000   0.000000   25.0000     0.1433
  -20.000     0.000  -1.742951   0.187295   0.000000   0.187295  -0.000000  -0.000000  -0.617665   0.000000   0.000000   25.0000     0.1457
  -19.000     0.000  -1.674270   0.174517   0.000000   0.174517  -0.000000  -0.000000  -0.570144   0.000000   0.000000   25.0000     0.1485
  -18.000     0.000  -1.604436   0.161997   0.000000   0.161997  -0.000000  -0.000000  -0.522135   0.000000   0.000000   25.0000     0.1515
  -17.000     0.000  -1.533489   0.149774   0.000000   0.149774  -0.000000  -0.000000  -0.473698   0.000000   0.000000   25.0000     0.1549
  -16.000     0.000  -1.461468   0.137882   0.000000   0.137882  -0.000000  -0.000000  -0.424890   0.000000   0.000000   25.0000     0.1586
  -15.000     0.000  -1.388417   0.126357   0.000000   0.126357  -0.000000  -0.000000  -0.375771   0.000000   0.000000   25.0000     0.1628
  -14.000     0.000  -1.314380   0.115233   0.000000   0.115233  -0.000000  -0.000000  -0.326401   0.000000   0.000000   25.0000     0.1676
  -13.000     0.000  -1.239402   0.104541   0.000000   0.104541  -0.000000  -0.000000  -0.276841   0.000000   0.000000   25.0000     0.1730
  -12.000     0.000  -1.163533   0.094312   0.000000   0.094312  -0.000000  -0.000000  -0.227150   0.000000   0.000000   25.0000     0.1792
  -11.000     0.000  -1.086822   0.084576   0.000000   0.084576  -0.000000  -0.000000  -0.177389   0.000000   0.000000   25.0000     0.1863
  -10.000     0.000  -1.009320   0.075361   0.000000   0.075361  -0.000000  -0.000000  -0.127619   0.000000   0.000000   25.0000     0.1946
   -9.000     0.000  -0.931080   0.066692   0.000000   0.066692  -0.000000  -0.000000  -0.077901   0.000000   0.000000   25.0000     0.2043
   -8.000     0.000  -0.852156   0.058594   0.000000   0.058594  -0.000000  -0.000000  -0.028294   0.000000   0.000000   25.0000     0.2160
   -7.000     0.000  -0.772604   0.051090   0.000000   0.051090  -0.000000  -0.000000   0.021140   0.000000   0.000000   25.0000     0.2302
   -6.000     0.000  -0.692481   0.044201   0.000000   0.044201  -0.000000  -0.000000   0.070341   0.000000   0.000000   25.0000     0.2477
   -5.000     0.000  -0.611844   0.037945   0.000000   0.037945  -0.000000  -0.000000   0.119250   0.000000   0.000000   25.0000     0.2700
   -4.000     0.000  -0.530752   0.032338   0.000000   0.032338  -0.000000  -0.000000   0.167806   0.000000   0.000000   25.0000     0.2992
   -3.000     0.000  -0.449265   0.027397   0.000000   0.027397  -0.000000  -0.000000   0.215951   0.000000   0.000000   25.0000     0.3391
