xflr5 v6.53

Plane name :        A0 E20 R-20
Polar name :        T1-15.0 m/s-VLM2-Inviscid
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.835876   0.372896   0.000000   0.372896   0.018302   0.004543  -1.869586  -0.003675  -0.003675   15.0000     0.0617
  -44.000     0.000  -2.794865   0.364896   0.000000   0.364896   0.019268   0.004702  -1.862775  -0.003954  -0.003954   15.0000     0.0603
  -43.000     0.000  -2.752422   0.356380   0.000000   0.356380   0.020246   0.004855  -1.854341  -0.004243  -0.004243   15.0000     0.0589
  -42.000     0.000  -2.708538   0.347382   0.000000   0.347382   0.021235   0.005002  -1.844297  -0.004541  -0.004541   15.0000     0.0575
  -41.000     0.000  -2.663208   0.337936   0.000000   0.337936   0.022236   0.005142  -1.832654  -0.004848  -0.004848   15.0000     0.0560
  -40.000     0.000  -2.616429   0.328078   0.000000   0.328078   0.023245   0.005275  -1.819427  -0.005164  -0.005164   15.0000     0.0545
  -39.000     0.000  -2.568199   0.317846   0.000000   0.317846   0.024262   0.005401  -1.804631  -0.005488  -0.005488   15.0000     0.0530
  -38.000     0.000  -2.518521   0.307277   0.000000   0.307277   0.025286   0.005517  -1.788284  -0.005820  -0.005820   15.0000     0.0514
  -37.000     0.000  -2.467398   0.296410   0.000000   0.296410   0.026315   0.005626  -1.770407  -0.006160  -0.006160   15.0000     0.0497
  -36.000     0.000  -2.414835   0.285282   0.000000   0.285282   0.027348   0.005724  -1.751021  -0.006506  -0.006506   15.0000     0.0480
  -35.000     0.000  -2.360840   0.273935   0.000000   0.273935   0.028385   0.005813  -1.730150  -0.006859  -0.006859   15.0000     0.0462
  -34.000     0.000  -2.305424   0.262408   0.000000   0.262408   0.029423   0.005891  -1.707820  -0.007218  -0.007218   15.0000     0.0444
  -33.000     0.000  -2.248600   0.250741   0.000000   0.250741   0.030462   0.005959  -1.684056  -0.007581  -0.007581   15.0000     0.0425
  -32.000     0.000  -2.190383   0.238976   0.000000   0.238976   0.031499   0.006016  -1.658890  -0.007950  -0.007950   15.0000     0.0405
  -31.000     0.000  -2.130790   0.227152   0.000000   0.227152   0.032535   0.006061  -1.632350  -0.008323  -0.008323   15.0000     0.0384
  -30.000     0.000  -2.069841   0.215311   0.000000   0.215311   0.033567   0.006094  -1.604469  -0.008699  -0.008699   15.0000     0.0362
  -29.000     0.000  -2.007559   0.203493   0.000000   0.203493   0.034594   0.006115  -1.575283  -0.009078  -0.009078   15.0000     0.0338
  -28.000     0.000  -1.943968   0.191738   0.000000   0.191738   0.035616   0.006124  -1.544825  -0.009459  -0.009459   15.0000     0.0314
  -27.000     0.000  -1.879094   0.180086   0.000000   0.180086   0.036630   0.006119  -1.513133  -0.009841  -0.009841   15.0000     0.0287
  -26.000     0.000  -1.812968   0.168577   0.000000   0.168577   0.037637   0.006102  -1.480245  -0.010224  -0.010224   15.0000     0.0259
  -25.000     0.000  -1.745621   0.157249   0.000000   0.157249   0.038633   0.006072  -1.446203  -0.010608  -0.010608   15.0000     0.0229
  -24.000     0.000  -1.677085   0.146141   0.000000   0.146141   0.039619   0.006029  -1.411047  -0.010990  -0.010990   15.0000     0.0196
  -23.000     0.000  -1.607398   0.135290   0.000000   0.135290   0.040592   0.005972  -1.374820  -0.011372  -0.011372   15.0000     0.0161
  -22.000     0.000  -1.536596   0.124732   0.000000   0.124732   0.041553   0.005902  -1.337565  -0.011751  -0.011751   15.0000     0.0123
  -21.000     0.000  -1.464720   0.114503   0.000000   0.114503   0.042499   0.005819  -1.299330  -0.012127  -0.012127   15.0000     0.0081
  -20.000     0.000  -1.391811   0.104637   0.000000   0.104637   0.043430   0.005722  -1.260160  -0.012500  -0.012500   15.0000     0.0034
  -19.000     0.000  -1.317914   0.095168   0.000000   0.095168   0.044344   0.005612  -1.220102  -0.012869  -0.012869   15.0000    -0.0017
  -18.000     0.000  -1.243074   0.086126   0.000000   0.086126   0.045240   0.005488  -1.179207  -0.013233  -0.013233   15.0000    -0.0075
  -17.000     0.000  -1.167339   0.077544   0.000000   0.077544   0.046117   0.005351  -1.137522  -0.013591  -0.013591   15.0000    -0.0140
  -16.000     0.000  -1.090758   0.069449   0.000000   0.069449   0.046974   0.005201  -1.095100  -0.013942  -0.013942   15.0000    -0.0215
  -15.000     0.000  -1.013381   0.061869   0.000000   0.061869   0.047811   0.005039  -1.051993  -0.014287  -0.014287   15.0000    -0.0300
  -14.000     0.000  -0.935261   0.054830   0.000000   0.054830   0.048625   0.004863  -1.008251  -0.014624  -0.014624   15.0000    -0.0401
