xflr5 v6.53

Plane name :        A20 E0 R0
Polar name :        T1-25.0 m/s-VLM2-Inviscid
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.867856   0.307593   0.000000   0.307593  -0.164007  -0.074225  -1.406861   0.037980   0.037980   25.0000     0.1077
  -44.000     0.000  -2.827510   0.301796   0.000000   0.301796  -0.165476  -0.074239  -1.395335   0.038783   0.038783   25.0000     0.1073
  -43.000     0.000  -2.785913   0.295577   0.000000   0.295577  -0.166669  -0.074173  -1.382490   0.039519   0.039519   25.0000     0.1070
  -42.000     0.000  -2.743061   0.288960   0.000000   0.288960  -0.167585  -0.074030  -1.368343   0.040184   0.040184   25.0000     0.1066
  -41.000     0.000  -2.698952   0.281968   0.000000   0.281968  -0.168223  -0.073814  -1.352911   0.040777   0.040777   25.0000     0.1062
  -40.000     0.000  -2.653585   0.274626   0.000000   0.274626  -0.168582  -0.073528  -1.336212   0.041293   0.041293   25.0000     0.1058
  -39.000     0.000  -2.606960   0.266958   0.000000   0.266958  -0.168660  -0.073175  -1.318267   0.041731   0.041731   25.0000     0.1054
  -38.000     0.000  -2.559080   0.258991   0.000000   0.258991  -0.168460  -0.072760  -1.299098   0.042088   0.042088   25.0000     0.1051
  -37.000     0.000  -2.509948   0.250753   0.000000   0.250753  -0.167979  -0.072285  -1.278728   0.042361   0.042361   25.0000     0.1047
  -36.000     0.000  -2.459569   0.242269   0.000000   0.242269  -0.167220  -0.071755  -1.257181   0.042550   0.042550   25.0000     0.1044
  -35.000     0.000  -2.407952   0.233570   0.000000   0.233570  -0.166183  -0.071173  -1.234485   0.042652   0.042652   25.0000     0.1040
  -34.000     0.000  -2.355105   0.224682   0.000000   0.224682  -0.164869  -0.070544  -1.210667   0.042666   0.042666   25.0000     0.1037
  -33.000     0.000  -2.301039   0.215635   0.000000   0.215635  -0.163280  -0.069872  -1.185756   0.042591   0.042591   25.0000     0.1033
  -32.000     0.000  -2.245766   0.206458   0.000000   0.206458  -0.161418  -0.069161  -1.159782   0.042425   0.042425   25.0000     0.1030
  -31.000     0.000  -2.189300   0.197180   0.000000   0.197180  -0.159285  -0.068416  -1.132776   0.042168   0.042168   25.0000     0.1027
  -30.000     0.000  -2.131657   0.187831   0.000000   0.187831  -0.156884  -0.067640  -1.104773   0.041820   0.041820   25.0000     0.1024
  -29.000     0.000  -2.072854   0.178441   0.000000   0.178441  -0.154217  -0.066838  -1.075805   0.041379   0.041379   25.0000     0.1021
  -28.000     0.000  -2.012913   0.169038   0.000000   0.169038  -0.151288  -0.066015  -1.045908   0.040847   0.040847   25.0000     0.1018
  -27.000     0.000  -1.951852   0.159653   0.000000   0.159653  -0.148101  -0.065175  -1.015119   0.040222   0.040222   25.0000     0.1015
  -26.000     0.000  -1.889696   0.150314   0.000000   0.150314  -0.144659  -0.064322  -0.983475   0.039507   0.039507   25.0000     0.1012
  -25.000     0.000  -1.826469   0.141051   0.000000   0.141051  -0.140966  -0.063460  -0.951015   0.038700   0.038700   25.0000     0.1010
  -24.000     0.000  -1.762196   0.131892   0.000000   0.131892  -0.137028  -0.062595  -0.917778   0.037804   0.037804   25.0000     0.1007
  -23.000     0.000  -1.696907   0.122865   0.000000   0.122865  -0.132848  -0.061730  -0.883804   0.036820   0.036820   25.0000     0.1004
  -22.000     0.000  -1.630631   0.113998   0.000000   0.113998  -0.128433  -0.060870  -0.849136   0.035748   0.035748   25.0000     0.1002
  -21.000     0.000  -1.563399   0.105318   0.000000   0.105318  -0.123786  -0.060019  -0.813815   0.034591   0.034591   25.0000     0.1000
  -20.000     0.000  -1.495243   0.096851   0.000000   0.096851  -0.118915  -0.059180  -0.777884   0.033351   0.033351   25.0000     0.0997
  -19.000     0.000  -1.426198   0.088623   0.000000   0.088623  -0.113824  -0.058359  -0.741387   0.032029   0.032029   25.0000     0.0995
